index: 1,  smile: C, fitness: -6.281431695634691, logP: 0.6361, sas: 7.3284153846153846, ringP: 0, discrm: [0.]
index: 2,  smile: Cc1ccccc1, fitness: 7.367141262816313, logP: 1.99502, sas: 1.0, ringP: 0, discrm: [0.5070047]
index: 3,  smile: c1ccc(-c2ccccc2)cc1, fitness: 8.66716817012655, logP: 3.353600000000001, sas: 1.0, ringP: 0, discrm: [0.5410481]
index: 4,  smile: Cc1ccccc1-c1ccccc1, fitness: 8.653030244112506, logP: 3.662020000000002, sas: 1.1518802358387852, ringP: 0, discrm: [0.5361346]
index: 5,  smile: Cc1cccc2c(Cc3ccccc3)cccc12, fitness: 8.834030094073512, logP: 4.739020000000004, sas: 1.5443591124940923, ringP: 0, discrm: [0.5254139]
index: 6,  smile: Cc1ccccc1-c1ccccc1, fitness: 8.1517046368127, logP: 3.662020000000002, sas: 1.1518802358387852, ringP: 0, discrm: [0.4860021]
index: 7,  smile: N=Cc1ccccc1-c1ccccc1-c1ccccc1, fitness: 8.41946762709234, logP: 5.018270000000003, sas: 1.9071241395896124, ringP: 0, discrm: [0.50790644]
index: 8,  smile: c1ccc(Cc2ccccc2-c2ccccc2)cc1, fitness: 8.62554703028816, logP: 4.944400000000004, sas: 1.375853801824114, ringP: 0, discrm: [0.46977305]
index: 9,  smile: CC=Cc1ccccc1-c1ccccc1-c1ccccc1, fitness: 8.497379931140648, logP: 6.053700000000005, sas: 1.7891245137324177, ringP: 0, discrm: [0.42835733]
index: 10,  smile: CC=CC=CCCCC=CC=CC=Cc1ccccc1, fitness: 7.855200125060972, logP: 6.114800000000006, sas: 2.7912550391984787, ringP: 0, discrm: [0.48046887]
index: 11,  smile: CC(=N)C=CC=CCC=Cc1ccccc1C=CC=Cc1ccccc1, fitness: 8.253450601550812, logP: 6.968570000000006, sas: 2.9608942667915965, ringP: 0, discrm: [0.48041302]
index: 12,  smile: CC=CC=CCCCC(=N)C=CC=CSCc1ccccc1, fitness: 8.103573424746424, logP: 6.312070000000006, sas: 3.3600399437252184, ringP: 0, discrm: [0.55984783]
index: 13,  smile: N=[SH]OC=Cc1ccccc1CC=CSc1ccccc1-c1ccccn1, fitness: 8.045525707826666, logP: 6.0766700000000045, sas: 3.4351148079918676, ringP: 0, discrm: [0.579708]
index: 14,  smile: FSOC=NC=CC=CC=CCC=Cc1ccccc1-c1ccccn1, fitness: 7.636208322654934, logP: 6.355600000000005, sas: 3.6942376812718516, ringP: 0, discrm: [0.5502703]
index: 15,  smile: Cc1cccc2c(-c3ccccc3C=Cc3ccccc3Cc3cc4ccc3cc4-c3ccccc3Cc3ccccc3)cccc12, fitness: 8.407524071802666, logP: 12.42521999999998, sas: 3.5214157549549743, ringP: 0, discrm: [0.17788643]
index: 16,  smile: CCc1cccc2c(-c3ccccc3C=Cc3ccccc3Cc3cc4ccc3cc4-c3ccccc3Cc3ccccc3)cccc12, fitness: 8.45732188835312, logP: 12.679199999999978, sas: 3.57729391293816, ringP: 0, discrm: [0.17165418]
index: 17,  smile: FSSOC=Cc1ccccc1CC=Cc1cnccc1-c1ccccn1, fitness: 8.64932130151093, logP: 6.567700000000006, sas: 3.348295961838021, ringP: 0, discrm: [0.5949531]
index: 18,  smile: CCc1cccc2c(-c3ccccc3C=Cc3ccccc3Cc3ccccc3-c3ccccc3Cc3ccccc3)cccc12, fitness: 9.24294506572039, logP: 12.088199999999983, sas: 2.521560907217779, ringP: 0, discrm: [0.16486177]
index: 19,  smile: CCc1cccc2c(Sc3ccccc3C=Cc3ccccc3Cc3ccccc3C=C(C)CC=CCCc3ccccc3)cccc12, fitness: 9.418286091446998, logP: 13.296999999999974, sas: 3.1140072512842547, ringP: 0, discrm: [0.16833967]
index: 20,  smile: FSSc1ccccc1OC=Cc1ccccc1CC=Cc1cnccc1-c1ccccn1, fitness: 10.787780623240845, logP: 8.074000000000007, sas: 3.253371343671276, ringP: 0, discrm: [0.69097817]
index: 21,  smile: C(=Cc1ccccc1-c1cccc2c(-c3ccccc3)cccc12)c1ccccc1CSc1ccccc1Cc1ccccc1Cc1ccccc1, fitness: 10.091944650200883, logP: 13.818099999999973, sas: 2.7240737542664633, ringP: 0, discrm: [0.1519556]
index: 22,  smile: FSSOC=CNCc1ccccc1Cc1ccccc1C=Cc1ccccc1-c1ncccc1Nc1ccccc1, fitness: 12.638940456801759, logP: 10.011699999999996, sas: 3.326817750781256, ringP: 0, discrm: [0.7480725]
index: 23,  smile: C(=Cc1ccccc1-c1cccc2c(-c3ccccc3)cccc12)c1ccccc1CSc1ccccc1Cc1ccccc1Cc1ccccc1, fitness: 10.01074464657692, logP: 13.818099999999973, sas: 2.7240737542664633, ringP: 0, discrm: [0.1438356]
index: 24,  smile: Oc1ccccc1C=CCC(CSCc1cnccc1-c1ncccc1S)=[SH]SF, fitness: 10.548164471649756, logP: 6.645200000000005, sas: 3.7656676666904456, ringP: 0, discrm: [0.8296102]
index: 25,  smile: FSSOC=CCCCOC=Cc1ccccc1-c1cnccc1-c1ncccc1S, fitness: 10.865820091793509, logP: 7.5780000000000065, sas: 3.6780839233826175, ringP: 0, discrm: [0.78494614]
index: 26,  smile: C(=Cc1cccc2c1ccc1c(-c3ccccc3)cccc12)c1ccccc1Cc1ccccc1Sc1ccccc1Cc1ccccc1Cc1ccccc1, fitness: 10.340828530962616, logP: 14.753999999999968, sas: 2.8380294435819824, ringP: 0, discrm: [0.12445843]
index: 27,  smile: C=CC=CC=C1C(=CC=C)c2cccc(-c3ccccc3SC=Cc3ccccc3CSc3ccccc3OCc3ccccc3Sc3ccccc3)c21, fitness: 10.68133879134462, logP: 14.847699999999971, sas: 3.6727450920431695, ringP: 0, discrm: [0.2523815]
index: 28,  smile: N=C(CCOSSF)CCc1ccccc1CSc1cnccc1-c1ncccc1CF, fitness: 11.339523889667792, logP: 7.445370000000006, sas: 3.56311707738353, ringP: 0, discrm: [0.8278438]
index: 29,  smile: Oc1ccccc1C=CCC(CSCc1cnccc1-c1nccc2c(CS)cccc12)=[SH]SF, fitness: 11.27902598285609, logP: 7.939500000000006, sas: 3.6728407596219084, ringP: 0, discrm: [0.800102]
index: 30,  smile: C(=Cc1cccc2c1ccc1c(-c3ccccc3)cccc12)c1ccccc1Cc1ccccc1CSc1ccccc1Sc1ccccc1Cc1ccccc1, fitness: 10.503244163389793, logP: 15.455499999999967, sas: 3.0116007115230667, ringP: 0, discrm: [0.11204762]
index: 31,  smile: C(=Cc1cccc2c1ccc1c(-c3ccccc3)cccc12)c1ccccc1Cc1ccccc1CSc1ccccc1Sc1ccccc1Cc1ccccc1, fitness: 10.463095189924827, logP: 15.455499999999967, sas: 3.0116007115230667, ringP: 0, discrm: [0.10803273]
index: 32,  smile: CC1=C(c2ccccc2SOSSF)C(c2cnccc2-c2nccc3c(S)cccc23)SC1, fitness: 11.669099270139865, logP: 9.051699999999995, sas: 4.164133114391328, ringP: 0, discrm: [0.8196984]
index: 33,  smile: FCc1cccnc1-c1ccncc1Sc1ccccc1OCCCCCSOSSF, fitness: 11.938153585989545, logP: 8.159100000000004, sas: 3.419141120464678, ringP: 0, discrm: [0.8199615]
index: 34,  smile: CC1=C(c2ccccc2SOSSF)C(c2ccccc2-c2nccc3c(S)cccc23)SC1, fitness: 12.195147875047358, logP: 9.656699999999992, sas: 4.005885561943774, ringP: 0, discrm: [0.8105197]
index: 35,  smile: CC1=C(c2ccccc2SOSSNF)C(c2ccccc2-c2nccc3c(S)cccc23)SC1, fitness: 10.547326481312586, logP: 9.161299999999995, sas: 4.135669622396469, ringP: 0, discrm: [0.6963532]
index: 36,  smile: Fc1ccccc1-c1ccccc1-c1ccccc1C=Cc1ccccc1Sc1ccccc1Sc1ccccc1CSCc1ccccc1Cc1ccccc1, fitness: 10.610979877994078, logP: 15.656699999999963, sas: 3.0109422702904354, ringP: 0, discrm: [0.10853076]
index: 37,  smile: CC1=C(c2ccccc2SOSSF)C(c2ccccc2-c2nccc3c(S)cccc23)SC1, fitness: 11.771836164689692, logP: 9.656699999999992, sas: 4.005885561943774, ringP: 0, discrm: [0.76818854]
index: 38,  smile: CC1=C(C=Cc2cccc3c(SOSS)cccc23)C(c2cnccc2-c2nccc3c(S)cccc23)SC1, fitness: 12.057554970785352, logP: 10.073199999999986, sas: 4.172266968382212, ringP: 0, discrm: [0.7873726]
index: 39,  smile: Fc1ccccc1Sc1ccccc1-c1ccccc1C=Cc1ccccc1Sc1ccccc1Sc1ccccc1CSCc1ccccc1C=Cc1ccccc1, fitness: 10.89503446593538, logP: 16.72049999999997, sas: 3.201499436791935, ringP: 0, discrm: [0.08473877]
index: 40,  smile: Fc1ccccc1Sc1ccccc1-c1ccccc1C=Cc1ccccc1Sc1ccccc1Sc1ccccc1CSCc1ccccc1C=Cc1ccccc1, fitness: 10.932931218292863, logP: 16.72049999999997, sas: 3.201499436791935, ringP: 0, discrm: [0.08852844]
index: 41,  smile: C=CC=CC=C1Sc2ccccc2C=[SH]1(C=CC=CC=CSc1ccccc1-c1ccccc1F)Sc1ccccc1SCc1cccc2ccccc12, fitness: 12.297072874450937, logP: 15.39789999999997, sas: 4.16076230358163, ringP: 0, discrm: [0.4338449]
