index: 1,  smile: C, fitness: -6.281431695634691, logP: 0.6361, sas: 7.3284153846153846, ringP: 0, discrm: [0.]
index: 2,  smile: Cc1ccccc1, fitness: 9.313148514555815, logP: 1.99502, sas: 1.0, ringP: 0, discrm: [0.50114673]
index: 3,  smile: CCc1ccccc1, fitness: 9.819272417187245, logP: 2.2490000000000006, sas: 1.0, ringP: 0, discrm: [0.52448475]
index: 4,  smile: CCc1ccccc1, fitness: 9.627668756603748, logP: 2.2490000000000006, sas: 1.0, ringP: 0, discrm: [0.5107988]
index: 5,  smile: CC=CC=CCc1ccccc1Cc1ccccc1, fitness: 10.393933060537318, logP: 4.952200000000004, sas: 2.2004747677003422, ringP: 0, discrm: [0.53238267]
index: 6,  smile: CC=CC=CCc1ccccc1Cc1ccccc1, fitness: 10.269843342672328, logP: 4.952200000000004, sas: 2.2004747677003422, ringP: 0, discrm: [0.5235191]
index: 7,  smile: CC=CC=CCc1ccccc1Cc1ccccc1, fitness: 10.25812650002096, logP: 4.952200000000004, sas: 2.2004747677003422, ringP: 0, discrm: [0.5226822]
index: 8,  smile: C(C=CCc1ccccc1Cc1ccccc1)=CCc1ccccc1, fitness: 11.516386029786291, logP: 6.175000000000005, sas: 2.2062321592535667, ringP: 0, discrm: [0.5513609]
index: 9,  smile: C=CC=CC=Cc1ccccc1N=Nc1ccccc1, fitness: 10.070927891186455, logP: 5.857400000000004, sas: 2.75601305745141, ringP: 0, discrm: [0.511414]
index: 10,  smile: CC=CC=Cc1ccccc1Cc1ccccc1Cc1ccccc1, fitness: 10.075170991645738, logP: 6.457500000000006, sas: 2.213861215386622, ringP: 0, discrm: [0.43482047]
index: 11,  smile: C(C=CC=CC=Cc1ccccc1)=CC=CC=CCc1ccccc1, fitness: 9.222965373537852, logP: 6.723500000000006, sas: 2.688965855354928, ringP: 0, discrm: [0.4013837]
index: 12,  smile: C=CC=CC=Cc1ccccc1-c1ccccc1N=Nc1ccccc1, fitness: 8.700209175766066, logP: 7.524400000000006, sas: 2.6383048141389853, ringP: 0, discrm: [0.31928095]
index: 13,  smile: Nc1ccccc1C=CNc1ccc2nc1CC=C2S, fitness: 8.937627294991012, logP: 3.5734000000000017, sas: 3.955890052589485, ringP: 0, discrm: [0.64887476]
index: 14,  smile: Nc1ccccc1C=CNc1ccc2nc1CC=C2S, fitness: 9.039135435554977, logP: 3.5734000000000017, sas: 3.955890052589485, ringP: 0, discrm: [0.6561253]
index: 15,  smile: Nc1ccccc1SC=CNc1cccc2c(S)ccnc12, fitness: 11.207770960225234, logP: 4.781100000000002, sas: 3.0305988379559867, ringP: 0, discrm: [0.67053014]
index: 16,  smile: C=CC=CC=CC=CNc1cocc1Nc1ccccc1-c1cccnc1, fitness: 10.99019748511689, logP: 6.309200000000004, sas: 3.2274363464534055, ringP: 0, discrm: [0.59482074]
index: 17,  smile: C=CC=CC=CC=CNc1cocc1Nc1ccccc1-c1cccnc1, fitness: 9.984898870614938, logP: 6.309200000000004, sas: 3.2274363464534055, ringP: 0, discrm: [0.52301365]
index: 18,  smile: Nc1ccccc1SSC=CNc1cccc2c(S)ccnc12, fitness: 11.15802583649732, logP: 5.429300000000003, sas: 3.301471345878541, ringP: 0, discrm: [0.6575671]
index: 19,  smile: Sc1ccnc2c(NC=CSc3ccc[nH]3)cccc12, fitness: 10.641717090189985, logP: 4.527000000000002, sas: 3.506493370358843, ringP: 0, discrm: [0.68384045]
index: 20,  smile: Sc1ccnc2c(NC=CSc3ccc[nH]3)cccc12, fitness: 10.311978473246626, logP: 4.527000000000002, sas: 3.506493370358843, ringP: 0, discrm: [0.66028774]
index: 21,  smile: NC[SH]=Cc1cccc2c(SCSNc3ccccc3CC=NC=C3C4=CCC=C3C4=S)cccc12, fitness: 11.40293709885234, logP: 7.318900000000005, sas: 5.064573331527973, ringP: 0, discrm: [0.73134017]
index: 22,  smile: Nc1ccccc1C[SH]=Cc1cccc2c(SCSNc3ccccc3CC=NC=C3C4=CCC=C3C4=S)cccc12, fitness: 11.972570270315755, logP: 9.185099999999998, sas: 4.976361445405503, ringP: 0, discrm: [0.6702902]
