index: 1,  smile: C, fitness: -6.281431695634691, logP: 0.6361, sas: 7.3284153846153846, ringP: 0, discrm: [0.]
index: 2,  smile: Cc1ccccc1, fitness: 7.800467507170561, logP: 1.99502, sas: 1.0, ringP: 0, discrm: [0.5503373]
index: 3,  smile: CCc1cccc2ccccc12, fitness: 8.396174139244934, logP: 3.4022000000000023, sas: 1.384694968001245, ringP: 0, discrm: [0.55682886]
index: 4,  smile: Cc1ccccc1Nc1ccccc1, fitness: 8.646353389439504, logP: 3.738620000000002, sas: 1.2519458764988904, ringP: 0, discrm: [0.5421033]
index: 5,  smile: Cc1ccccc1-c1ccccc1Nc1ccccc1, fitness: 9.432884310780532, logP: 5.405620000000003, sas: 1.536272509863407, ringP: 0, discrm: [0.5372425]
index: 6,  smile: Cc1ccccc1-c1ccccc1Nc1ccccc1, fitness: 9.383382891713149, logP: 5.405620000000003, sas: 1.536272509863407, ringP: 0, discrm: [0.5322923]
index: 7,  smile: Cc1ccccc1-c1ccccc1Nc1ccccc1, fitness: 9.379819487629897, logP: 5.405620000000003, sas: 1.536272509863407, ringP: 0, discrm: [0.531936]
index: 8,  smile: c1ccc(-c2ccccc2-c2ccccc2)cc1, fitness: 9.123538834063687, logP: 5.0206000000000035, sas: 1.0, ringP: 0, discrm: [0.46894154]
index: 9,  smile: Cc1ccccc1-c1ccccc1-c1ccccc1C, fitness: 8.82739204731027, logP: 5.637440000000004, sas: 1.2575084734603799, ringP: 0, discrm: [0.42675927]
index: 10,  smile: Nc1ccccc1NSC=Cc1ccccc1CC=Cc1ccccc1, fitness: 8.598824685401498, logP: 6.2557000000000045, sas: 2.7588670519012233, ringP: 0, discrm: [0.5409801]
index: 11,  smile: Nc1ccccc1NC=Cc1ccccc1CC=CC=Cc1cccc2ccccc12, fitness: 8.780492191753709, logP: 7.316900000000006, sas: 2.6631369811943717, ringP: 0, discrm: [0.47266734]
index: 12,  smile: Nc1ccccc1NSC=Cc1ccccc1CC=CC=CC=CCSF, fitness: 8.973991463251709, logP: 6.828600000000004, sas: 3.6593777632012143, ringP: 0, discrm: [0.64644295]
