index: 1,  smile: C, fitness: -6.281431695634691, logP: 0.6361, sas: 7.3284153846153846, ringP: 0, discrm: [0.]
index: 2,  smile: Cc1ccccc1, fitness: 2.297094361113432, logP: 1.99502, sas: 1.0, ringP: 0, discrm: [0.604483]
index: 3,  smile: Cc1ccccc1C, fitness: 2.474314619767068, logP: 2.30344, sas: 1.0337432953498862, ringP: 0, discrm: [0.5760878]
index: 4,  smile: c1ccc(Nc2ccccc2)cc1, fitness: 3.209248005358814, logP: 3.430200000000001, sas: 1.0843462778324717, ringP: 0, discrm: [0.5554021]
index: 5,  smile: c1ccc(NCc2cccc3ccccc23)cc1, fitness: 3.489813344903266, logP: 4.451900000000003, sas: 1.4507282465047364, ringP: 0, discrm: [0.5547641]
index: 6,  smile: c1ccc(Cc2cccc3ccccc23)cc1, fitness: 3.574620623830884, logP: 4.430600000000003, sas: 1.367786943831506, ringP: 0, discrm: [0.55250245]
index: 7,  smile: C(=CCc1cccc2c1ccc1ccccc12)Cc1ccccc1, fitness: 4.099694107394404, logP: 6.334400000000006, sas: 2.0485981886054017, ringP: 0, discrm: [0.58093226]
index: 8,  smile: C(=Cc1cccc2ccccc12)c1ccccc1Cc1ccccc1, fitness: 4.508741372374452, logP: 6.601000000000005, sas: 1.865240159253565, ringP: 0, discrm: [0.55435604]
index: 9,  smile: C(=Cc1cccc2ccccc12)c1ccccc1Cc1ccccc1, fitness: 4.508741372374452, logP: 6.601000000000005, sas: 1.865240159253565, ringP: 0, discrm: [0.5091709]
index: 10,  smile: C(=Cc1cccc2ccccc12)c1ccccc1-c1ccccc1, fitness: 4.651698795123214, logP: 6.677200000000005, sas: 1.7912001116823255, ringP: 0, discrm: [0.43254936]
index: 11,  smile: c1ccc(Cc2ccccc2CCCc2ccccc2-c2ccccc2)cc1, fitness: 4.979104132989263, logP: 7.119700000000006, sas: 1.7788579668300795, ringP: 0, discrm: [0.4071498]
index: 12,  smile: c1ccc(Cc2ccccc2CCCc2ccccc2-c2ccccc2)cc1, fitness: 4.979104132989263, logP: 7.119700000000006, sas: 1.7788579668300795, ringP: 0, discrm: [0.36002684]
index: 13,  smile: c1ccc(-c2ccccc2Cc2ccccc2-c2cccc3ccccc23)cc1, fitness: 5.4330817570978365, logP: 7.764600000000006, sas: 1.7801275485786796, ringP: 0, discrm: [0.30778983]
index: 14,  smile: Cc1ccccc1C=CCc1ccccc1-c1ccccc1CC=Cc1ccccc1, fitness: 5.0021113061297555, logP: 8.173820000000006, sas: 2.3781996902244718, ringP: 0, discrm: [0.3080133]
index: 15,  smile: c1ccc(Nc2ccccc2Oc2cccc3c(-c4ccccc4)cccc23)cc1, fitness: 5.5702130413123925, logP: 8.042700000000005, sas: 1.8293817250458844, ringP: 0, discrm: [0.28671184]
index: 16,  smile: Cc1cccc2c(CC=CCC=Cc3ccccc3-c3cccc4ccccc34)cccc12, fitness: 5.610952916175609, logP: 9.17062, sas: 2.4572923797780266, ringP: 0, discrm: [0.26711428]
index: 17,  smile: C(=Cc1ccccc1CCOc1ccccc1-c1ccccc1)CC=Cc1cccc2ccccc12, fitness: 5.720308626188267, logP: 9.244999999999997, sas: 2.4100955710017633, ringP: 0, discrm: [0.25846314]
index: 18,  smile: C(=Cc1ccccc1CCOc1ccccc1-c1ccccc1)CC=Cc1cccc2ccccc12, fitness: 5.720308626188267, logP: 9.244999999999997, sas: 2.4100955710017633, ringP: 0, discrm: [0.24624333]
index: 19,  smile: Cc1cccc2c(-c3ccccc3Cc3ccccc3-c3ccccc3Nc3ccccc3)cccc12, fitness: 6.385272782851362, logP: 9.816619999999997, sas: 2.1931172352167376, ringP: 0, discrm: [0.23273662]
index: 20,  smile: c1ccc(-c2ccccc2Nc2ccccc2Oc2cccc3c(-c4ccccc4)cccc23)cc1, fitness: 6.590799870166646, logP: 9.709699999999994, sas: 1.9596675719576009, ringP: 0, discrm: [0.22495931]
index: 21,  smile: CC=CC=Cc1ccccc1-c1ccccc1CCC=CCC=Cc1ccccc1-c1cccc2ccccc12, fitness: 6.698710052236077, logP: 11.355399999999985, sas: 2.8355653285826055, ringP: 0, discrm: [0.21766722]
index: 22,  smile: CC=CCc1ccccc1C=CCCCc1ccccc1C=CCC=Cc1ccccc1-c1cccc2ccccc12, fitness: 6.828602373080135, logP: 11.778199999999984, sas: 2.975728027704333, ringP: 0, discrm: [0.21117926]
index: 23,  smile: Cc1cccc2c(-c3ccccc3Sc3ccccc3-c3ccccc3Sc3ccccc3)cccc12, fitness: 6.977396556445295, logP: 10.784619999999988, sas: 2.269199514079663, ringP: 0, discrm: [0.20324096]
index: 24,  smile: C=CCc1ccccc1-c1cccc2c(C=CC=CCC=Cc3ccccc3CCCc3ccccc3-c3ccccc3)cccc12, fitness: 7.5115783992809435, logP: 12.750499999999978, sas: 2.9788673143541224, ringP: 0, discrm: [0.19556868]
index: 25,  smile: C=CCc1cccc2c(C=Cc3cccc4c(C=CC=CCC=Cc5ccccc5CCCc5ccccc5-c5ccccc5)cccc34)cccc12, fitness: 8.430163078921888, logP: 14.407099999999971, sas: 3.1877788674007634, ringP: 0, discrm: [0.18887907]
index: 26,  smile: C=CCc1cccc2c(C=Cc3cccc4c(C=CC=CCC=Cc5ccccc5CCCc5ccccc5-c5ccccc5)cccc34)cccc12, fitness: 8.430163078921888, logP: 14.407099999999971, sas: 3.1877788674007634, ringP: 0, discrm: [0.18307054]
index: 27,  smile: C=CCc1cccc2c(C=Cc3cccc4c(C=CC=CCC=Cc5ccccc5CCCc5ccccc5-c5ccccc5)cccc34)cccc12, fitness: 8.430163078921888, logP: 14.407099999999971, sas: 3.1877788674007634, ringP: 0, discrm: [0.17755204]
index: 28,  smile: C(=CC=Cc1ccccc1-c1ccccc1-c1ccccc1CCc1ccccc1C=CCC=Cc1cccc2ccccc12)C=Cc1ccccc1, fitness: 8.570234441339437, logP: 14.358499999999967, sas: 3.0429159140922835, ringP: 0, discrm: [0.1723757]
index: 29,  smile: C=CC=Cc1cccc2c(C=CC=Cc3ccccc3CC=Cc3ccccc3CCCc3ccccc3-c3ccccc3-c3ccccc3)cccc12, fitness: 8.57161242540411, logP: 14.53079999999997, sas: 3.1428597552807425, ringP: 0, discrm: [0.16774671]
index: 30,  smile: C=CC=Cc1cccc2c(C=CC=Cc3ccccc3CC=Cc3ccccc3CCCc3ccccc3-c3ccccc3-c3ccccc3)cccc12, fitness: 8.57161242540411, logP: 14.53079999999997, sas: 3.1428597552807425, ringP: 0, discrm: [0.16333184]
index: 31,  smile: C=CCc1cccc2c(C=Cc3cccc4c(C=CCC=CCC=Cc5ccccc5CCCc5ccccc5-c5ccccc5)cccc34)cccc12, fitness: 8.731717582167226, logP: 14.79719999999997, sas: 3.166166448369526, ringP: 0, discrm: [0.15876867]
index: 32,  smile: C(=CC=Cc1ccccc1-c1ccccc1Sc1ccccc1CCc1ccccc1C=CCC=Cc1cccc2ccccc12)C=CSc1ccccc1, fitness: 8.836765547338732, logP: 15.435299999999966, sas: 3.4532825071861204, ringP: 0, discrm: [0.15526931]
index: 33,  smile: CC=CCC=Cc1ccccc1Cc1ccccc1C=CC=Cc1ccccc1C=CC=CCC=Cc1ccccc1CCCc1ccccc1-c1ccccc1, fitness: 8.942310925139278, logP: 15.498599999999964, sas: 3.4027500860009674, ringP: 0, discrm: [0.15110235]
index: 34,  smile: C=CCC=Cc1ccccc1C=Cc1cccc2c(-c3ccccc3C=CCCC=Cc3ccccc3CCCc3ccccc3-c3ccccc3)cccc12, fitness: 9.215177051790864, logP: 15.615599999999965, sas: 3.2447396309852774, ringP: 0, discrm: [0.14548245]
index: 35,  smile: C=CCC=Cc1ccccc1C=Cc1cccc2c(-c3ccccc3C=CCCC=Cc3ccccc3CCCc3ccccc3-c3ccccc3)cccc12, fitness: 9.215177051790864, logP: 15.615599999999965, sas: 3.2447396309852774, ringP: 0, discrm: [0.14151657]
index: 36,  smile: C=CCC=Cc1ccccc1C=Cc1cccc2c(-c3ccccc3C=CCCC=Cc3ccccc3CCCc3ccccc3-c3ccccc3)cccc12, fitness: 9.215177051790864, logP: 15.615599999999965, sas: 3.2447396309852774, ringP: 0, discrm: [0.13773035]
index: 37,  smile: CCc1cccc2c(Cc3ccccc3C=CC=Cc3ccccc3C=CC=CCC=CSc3ccccc3CCCc3ccccc3Sc3ccccc3)cccc12, fitness: 9.27377385804707, logP: 16.311599999999967, sas: 3.6044099726685754, ringP: 0, discrm: [0.13597186]
index: 38,  smile: CCc1cccc2c(Cc3ccccc3C=CC=Cc3ccccc3C=CC=CCC=CSc3ccccc3CCCc3ccccc3Sc3ccccc3)cccc12, fitness: 9.27377385804707, logP: 16.311599999999967, sas: 3.6044099726685754, ringP: 0, discrm: [0.13243502]
index: 39,  smile: Cc1ccccc1C=Cc1ccccc1CC=Cc1ccccc1-c1ccccc1Sc1ccccc1CCc1ccccc1CCC=Cc1cccc2ccccc12, fitness: 9.315269451245177, logP: 15.823919999999967, sas: 3.2838199602705576, ringP: 0, discrm: [0.12743288]
index: 40,  smile: C(=Cc1cccc2ccccc12)CCc1ccccc1CCc1ccccc1SSc1ccccc1-c1ccccc1C=CCc1ccccc1C=Cc1ccccc1, fitness: 9.510789358283935, logP: 16.163699999999963, sas: 3.320761697686228, ringP: 0, discrm: [0.1247163]
index: 41,  smile: C(=Cc1cccc2ccccc12)CCc1ccccc1CCc1ccccc1SSc1ccccc1-c1ccccc1C=CSc1ccccc1C=Cc1ccccc1, fitness: 9.732294448408833, logP: 16.67079999999997, sas: 3.434285707154631, ringP: 0, discrm: [0.12204736]
index: 42,  smile: C(=Cc1cccc2ccccc12)CCc1ccccc1CCc1ccccc1SSc1ccccc1-c1ccccc1C=CSc1ccccc1C=Cc1ccccc1, fitness: 9.732294448408833, logP: 16.67079999999997, sas: 3.434285707154631, ringP: 0, discrm: [0.11921106]
index: 43,  smile: CCCCC=Cc1ccccc1C=Cc1cccc2c(-c3ccccc3C=CCCC=Cc3ccccc3CCCc3ccccc3-c3ccccc3)cccc12, fitness: 9.752145601844486, logP: 16.229699999999966, sas: 3.1590029988247146, ringP: 0, discrm: [0.11537084]
index: 44,  smile: C(=Cc1cccc2ccccc12)CSc1ccccc1CCc1ccccc1SSc1ccccc1-c1ccccc1C=CSc1ccccc1C=Cc1ccccc1, fitness: 9.770039707372053, logP: 16.830299999999973, sas: 3.4965115564661318, ringP: 0, discrm: [0.11320189]
index: 45,  smile: C(=Cc1cccc2ccccc12)CCc1ccccc1Cc1ccccc1SSSc1ccccc1-c1ccccc1C=CSc1ccccc1C=Cc1ccccc1, fitness: 9.86730320925405, logP: 17.124599999999976, sas: 3.588386178283047, ringP: 0, discrm: [0.11144315]
index: 46,  smile: C(=Cc1cccc2ccccc12)CCc1ccccc1Cc1ccccc1SSSc1ccccc1-c1ccccc1C=CSc1ccccc1C=Cc1ccccc1, fitness: 9.86730320925405, logP: 17.124599999999976, sas: 3.588386178283047, ringP: 0, discrm: [0.10846065]
index: 47,  smile: C(=Cc1cccc2ccccc12)CCc1ccccc1Cc1ccccc1SSSc1ccccc1Oc1ccccc1C=CSc1ccccc1C=Cc1ccccc1, fitness: 9.919121637278469, logP: 17.24989999999998, sas: 3.6188570970191325, ringP: 0, discrm: [0.10766917]
